Epoch:60, Duration:97.333414, Train_Cost:69.956743, Valid_Cost:69.265959, Test_Cost:68.091972
Epoch:61, Duration:95.113165, Train_Cost:69.941355, Valid_Cost:69.242137, Test_Cost:68.090259
Epoch:62, Duration:96.410085, Train_Cost:69.943529, Valid_Cost:69.298168, Test_Cost:68.140746
Epoch:63, Duration:99.019799, Train_Cost:69.965149, Valid_Cost:69.270858, Test_Cost:68.112565
Epoch:64, Duration:96.774319, Train_Cost:69.926508, Valid_Cost:69.245409, Test_Cost:68.084256
Epoch:65, Duration:98.349015, Train_Cost:69.926898, Valid_Cost:69.297694, Test_Cost:68.151577
Epoch:66, Duration:96.741040, Train_Cost:69.898429, Valid_Cost:69.233523, Test_Cost:68.103362
Epoch:67, Duration:16364.721357, Train_Cost:69.918890, Valid_Cost:69.244508, Test_Cost:68.059605
Epoch:68, Duration:112.398760, Train_Cost:69.921788, Valid_Cost:69.252066, Test_Cost:68.102181
Epoch:69, Duration:104.209705, Train_Cost:69.911568, Valid_Cost:69.203010, Test_Cost:68.057796
Epoch:70, Duration:94.043614, Train_Cost:69.893684, Valid_Cost:69.226189, Test_Cost:68.071191
Epoch:71, Duration:89.453469, Train_Cost:69.905045, Valid_Cost:69.227457, Test_Cost:68.065193
Epoch:72, Duration:102.256209, Train_Cost:69.881948, Valid_Cost:69.249781, Test_Cost:68.088608
Epoch:73, Duration:115.688491, Train_Cost:69.890003, Valid_Cost:69.269491, Test_Cost:68.095661
Epoch:74, Duration:111.702088, Train_Cost:69.875871, Valid_Cost:69.258835, Test_Cost:68.108426
Epoch:75, Duration:105.987916, Train_Cost:69.879640, Valid_Cost:69.242126, Test_Cost:68.071098
Epoch:76, Duration:100.625329, Train_Cost:69.878010, Valid_Cost:69.221358, Test_Cost:68.048296
Epoch:77, Duration:116.592880, Train_Cost:69.871521, Valid_Cost:69.180211, Test_Cost:68.000071
Epoch:78, Duration:108.554569, Train_Cost:69.829947, Valid_Cost:69.176581, Test_Cost:68.013922
Epoch:79, Duration:108.003144, Train_Cost:69.835893, Valid_Cost:69.284293, Test_Cost:68.155432
Epoch:80, Duration:98.893288, Train_Cost:69.834807, Valid_Cost:69.235160, Test_Cost:68.065942
Epoch:81, Duration:103.752169, Train_Cost:69.827802, Valid_Cost:69.178912, Test_Cost:68.037422
Epoch:82, Duration:110.911327, Train_Cost:69.826530, Valid_Cost:69.199047, Test_Cost:68.098360
Epoch:83, Duration:103.696615, Train_Cost:69.811130, Valid_Cost:69.250329, Test_Cost:68.080834
Epoch:84, Duration:104.390699, Train_Cost:69.787434, Valid_Cost:69.179484, Test_Cost:68.039073
Epoch:85, Duration:113.345423, Train_Cost:69.801458, Valid_Cost:69.145301, Test_Cost:67.986736
Epoch:86, Duration:117.637409, Train_Cost:69.763465, Valid_Cost:69.134559, Test_Cost:67.987734
Epoch:87, Duration:116.662081, Train_Cost:69.791981, Valid_Cost:69.109517, Test_Cost:67.949021
Epoch:88, Duration:129.179377, Train_Cost:69.733061, Valid_Cost:69.143254, Test_Cost:67.968230
Epoch:89, Duration:110.864418, Train_Cost:69.770512, Valid_Cost:69.141903, Test_Cost:67.944858
Epoch:90, Duration:116.339871, Train_Cost:69.724111, Valid_Cost:69.145823, Test_Cost:67.968635
Epoch:91, Duration:124.424529, Train_Cost:69.732226, Valid_Cost:69.154057, Test_Cost:68.002512
Epoch:92, Duration:112.739378, Train_Cost:69.729973, Valid_Cost:69.099662, Test_Cost:67.928754
Epoch:93, Duration:114.044075, Train_Cost:69.706505, Valid_Cost:69.094876, Test_Cost:67.919738
Epoch:94, Duration:109.695427, Train_Cost:69.681199, Valid_Cost:69.118571, Test_Cost:67.959338
Epoch:95, Duration:120.646520, Train_Cost:69.666267, Valid_Cost:69.042871, Test_Cost:67.864457
Epoch:96, Duration:168.398632, Train_Cost:69.660281, Valid_Cost:69.069607, Test_Cost:67.895034
Epoch:97, Duration:140.313350, Train_Cost:69.674392, Valid_Cost:69.029994, Test_Cost:67.862898
Epoch:98, Duration:140.973083, Train_Cost:69.654948, Valid_Cost:69.054525, Test_Cost:67.894273
Epoch:99, Duration:147.982910, Train_Cost:69.649228, Valid_Cost:69.088996, Test_Cost:67.952713
Best Epoch:97, Avg_Duration:294.480410, Train_Cost:69.674392, Valid_Cost:69.029994, Test_Cost:67.862898
